phone_number,domestic,friendly_name,locality,region,iso_country,bn_dn_count,bn_dn_pct,digital_root,longest_repeat_run,longest_bn_dn_run,trailing4
+12563056555,2563056555,(256) 305-6555,Attalla,AL,US,7,0.7,6,3,5,6555
+14065055565,4065055565,(406) 505-5565,Conrad,MT,US,7,0.7,5,3,5,5565
+15154665559,5154665559,(515) 466-5559,Whittemore,IA,US,7,0.7,6,3,5,5559
+15405655516,5405655516,(540) 565-5516,Union Hall,VA,US,7,0.7,6,3,5,5516
+15592455565,5592455565,(559) 245-5565,Miramonte Pinehurst,CA,US,7,0.7,6,3,5,5565
+15673456555,5673456555,(567) 345-6555,Mansfield,OH,US,7,0.7,6,3,5,6555
+16592655561,6592655561,(659) 265-5561,,AL,US,7,0.7,5,3,5,5561
+16693155565,6693155565,(669) 315-5565,,US,US,7,0.7,6,3,5,5565
+18455166655,8455166655,(845) 516-6655,Rhinebeck,NY,US,7,0.7,6,3,5,6655
+12565569535,2565569535,(256) 556-9535,Decatur,AL,US,7,0.7,6,2,5,9535
+12765665455,2765665455,(276) 566-5455,Hurley,VA,US,7,0.7,6,2,5,5455
+13465366566,3465366566,(346) 536-6566,Houston,US,US,7,0.7,5,2,5,6566
+15154955656,5154955656,(515) 495-5656,Prairie City,IA,US,7,0.7,6,2,5,5656
+15158556564,5158556564,(515) 855-6564,Buckeye,IA,US,7,0.7,5,2,5,6564
+15644656564,5644656564,(564) 465-6564,CLARK,US,US,7,0.7,6,2,5,6564
+16365565159,6365565159,(636) 556-5159,Valley Park,MO,US,7,0.7,6,2,5,5159
+16592655651,6592655651,(659) 265-5651,,AL,US,7,0.7,5,2,5,5651
+18566564668,8566564668,(856) 656-4668,Haddon Heights,NJ,US,7,0.7,6,2,5,4668
+19255266556,9255266556,(925) 526-6556,Pittsburg,CA,US,7,0.7,6,2,5,6556
+14706655558,4706655558,(470) 665-5558,ATLANTA,US,US,6,0.6,6,4,6,5558
+16566664399,6566664399,(656) 666-4399,Tampa,,US,6,0.6,6,4,6,4399
+17066665518,7066665518,(706) 666-5518,Watkinsville,GA,US,6,0.6,5,4,6,5518
+19256666541,9256666541,(925) 666-6541,East Contra Costa,CA,US,6,0.6,5,4,6,6541
+12294665656,2294665656,(229) 466-5656,Georgetown,GA,US,6,0.6,6,2,6,5656
+12765665599,2765665599,(276) 566-5599,Hurley,VA,US,6,0.6,6,2,6,5599
+12765665671,2765665671,(276) 566-5671,Hurley,VA,US,6,0.6,6,2,6,5671
+13466565592,3466565592,(346) 656-5592,Houston,US,US,6,0.6,6,2,6,5592
+17655655029,7655655029,(765) 565-5029,Carthage,IN,US,6,0.6,5,2,6,5029
+17655655074,7655655074,(765) 565-5074,Carthage,IN,US,6,0.6,5,2,6,5074
+17855665603,7855665603,(785) 566-5603,Pomona,KS,US,6,0.6,6,2,6,5603
+17855665647,7855665647,(785) 566-5647,Pomona,KS,US,6,0.6,5,2,6,5647
+18286565659,8286565659,(828) 656-5659,Guntertown,NC,US,6,0.6,6,1,6,5659
+16416666672,6416666672,(641) 666-6672,Osage,IA,US,6,0.6,5,5,5,6672
+12698955556,2698955556,(269) 895-5556,Allegan,MI,US,6,0.6,6,4,5,5556
+14026966665,4026966665,(402) 696-6665,Liberty,NE,US,6,0.6,5,4,5,6665
+17066665761,7066665761,(706) 666-5761,Watkinsville,GA,US,6,0.6,5,4,5,5761
+18157455556,8157455556,(815) 745-5556,Warren,IL,US,6,0.6,6,4,5,5556
+18566667745,8566667745,(856) 666-7745,Paulsboro,NJ,US,6,0.6,6,4,5,7745
+18596666590,8596666590,(859) 666-6590,Williamstown,KY,US,6,0.6,6,4,5,6590
+19125755556,9125755556,(912) 575-5556,Folkston,GA,US,6,0.6,5,4,5,5556
+12316266555,2316266555,(231) 626-6555,Levering,MI,US,6,0.6,5,3,5,6555
+12544555659,2544555659,(254) 455-5659,Cameron,TX,US,6,0.6,5,3,5,5659
+13153655562,3153655562,(315) 365-5562,Savannah,NY,US,6,0.6,5,3,5,5562
+13157566657,3157566657,(315) 756-6657,Belleville,NY,US,6,0.6,6,3,5,6657
+13256665035,3256665035,(325) 666-5035,Winters,TX,US,6,0.6,5,3,5,5035
+13256665260,3256665260,(325) 666-5260,Winters,TX,US,6,0.6,5,3,5,5260
+13256665945,3256665945,(325) 666-5945,Winters,TX,US,6,0.6,6,3,5,5945
+13345865556,3345865556,(334) 586-5556,New Brockton,AL,US,6,0.6,5,3,5,5556
+13614055666,3614055666,(361) 405-5666,Goliad,TX,US,6,0.6,6,3,5,5666
+13614056665,3614056665,(361) 405-6665,Goliad,TX,US,6,0.6,6,3,5,6665
+14235566676,4235566676,(423) 556-6676,Soddy Daisy,TN,US,6,0.6,5,3,5,6676
+14646665572,4646665572,(464) 666-5572,Chicago,IL,US,6,0.6,6,3,5,5572
+15076665628,5076665628,(507) 666-5628,Worthington,MN,US,6,0.6,6,3,5,5628
+15076665682,5076665682,(507) 666-5682,Worthington,MN,US,6,0.6,6,3,5,5682
+15176665618,5176665618,(517) 666-5618,Grand Ledge,MI,US,6,0.6,6,3,5,5618
+15177266655,5177266655,(517) 726-6655,Vermontville,MI,US,6,0.6,5,3,5,6655
+15703655560,5703655560,(570) 365-5560,Mount Pleasant Mills,PA,US,6,0.6,6,3,5,5560
+15747666559,5747666559,(574) 766-6559,Claypool,IN,US,6,0.6,6,3,5,6559
+16015655527,6015655527,(601) 565-5527,Liberty,MS,US,6,0.6,6,3,5,5527
+16015655589,6015655589,(601) 565-5589,Liberty,MS,US,6,0.6,5,3,5,5589
+16055666179,6055666179,(605) 566-6179,Lead,SD,US,6,0.6,6,3,5,6179
+16073665558,6073665558,(607) 366-5558,Lansing,NY,US,6,0.6,6,3,5,5558
+17405766555,7405766555,(740) 576-6555,Saint Clairsville,OH,US,6,0.6,5,3,5,6555
+17628155565,7628155565,(762) 815-5565,Greensboro,GA,US,6,0.6,5,3,5,5565
+19285855666,9285855666,(928) 585-5666,Winslow,AZ,US,6,0.6,6,3,5,5666
+12053366556,2053366556,(205) 336-6556,Eutaw,AL,US,6,0.6,5,2,5,6556
+12545565622,2545565622,(254) 556-5622,Mart,TX,US,6,0.6,6,2,5,5622
+12765665068,2765665068,(276) 566-5068,Hurley,VA,US,6,0.6,6,2,5,5068
+13046355655,3046355655,(304) 635-5655,Elkins,WV,US,6,0.6,6,2,5,5655
+13155656136,3155656136,(315) 565-6136,Syracuse,NY,US,6,0.6,5,2,5,6136
+13155656496,3155656496,(315) 565-6496,Syracuse,NY,US,6,0.6,5,2,5,6496
+13466565735,3466565735,(346) 656-5735,Houston,US,US,6,0.6,5,2,5,5735
+13614056566,3614056566,(361) 405-6566,Goliad,TX,US,6,0.6,6,2,5,6566
+14055665785,4055665785,(405) 566-5785,Prague,OK,US,6,0.6,6,2,5,5785
+14405956566,4405956566,(440) 595-6566,Vermilion,OH,US,6,0.6,5,2,5,6566
+15178266556,5178266556,(517) 826-6556,Jonesville,MI,US,6,0.6,6,2,5,6556
+15706656501,5706656501,(570) 665-6501,Tunkhannock,PA,US,6,0.6,5,2,5,6501
+15706656573,5706656573,(570) 665-6573,Tunkhannock,PA,US,6,0.6,5,2,5,6573
+15706656591,5706656591,(570) 665-6591,Tunkhannock,PA,US,6,0.6,5,2,5,6591
+16365566104,6365566104,(636) 556-6104,Valley Park,MO,US,6,0.6,6,2,5,6104
+16566501687,6566501687,(656) 650-1687,Tampa,,US,6,0.6,5,2,5,1687
+17753066566,7753066566,(775) 306-6566,Carson City,NV,US,6,0.6,6,2,5,6566
+17855665260,7855665260,(785) 566-5260,Pomona,KS,US,6,0.6,5,2,5,5260
+17855665467,7855665467,(785) 566-5467,Pomona,KS,US,6,0.6,5,2,5,5467
+17855665854,7855665854,(785) 566-5854,Pomona,KS,US,6,0.6,5,2,5,5854
+18566564776,8566564776,(856) 656-4776,Haddon Heights,NJ,US,6,0.6,6,2,5,4776
+18592956655,8592956655,(859) 295-6655,Wilmore,KY,US,6,0.6,6,2,5,6655
+19125755656,9125755656,(912) 575-5656,Folkston,GA,US,6,0.6,6,2,5,5656
+19165665867,9165665867,(916) 566-5867,Sacramento,CA,US,6,0.6,5,2,5,5867
+19786166556,9786166556,(978) 616-6556,Winchendon,MA,US,6,0.6,5,2,5,6556
+19786256655,9786256655,(978) 625-6655,Billerica,MA,US,6,0.6,5,2,5,6655
+14846165656,4846165656,(484) 616-5656,Robesonia,PA,US,6,0.6,6,1,5,5656
+16416565621,6416565621,(641) 656-5621,Milton,IA,US,6,0.6,6,1,5,5621
+16416565693,6416565693,(641) 656-5693,Milton,IA,US,6,0.6,6,1,5,5693
+17406756565,7406756565,(740) 675-6565,Amanda,OH,US,6,0.6,6,1,5,6565
+18066666129,8066666129,(806) 666-6129,Floydada,TX,US,5,0.5,5,5,5,6129
+19126666671,9126666671,(912) 666-6671,Savannah,GA,US,5,0.5,5,5,5,6671
+19166666127,9166666127,(916) 666-6127,Roseville,CA,US,5,0.5,5,5,5,6127
+12396666589,2396666589,(239) 666-6589,Fort Myers,FL,US,5,0.5,6,4,5,6589
+12566661082,2566661082,(256) 666-1082,Huntsville,AL,US,5,0.5,6,4,5,1082
+13098655554,3098655554,(309) 865-5554,East Moline,IL,US,5,0.5,5,4,5,5554
+17066665797,7066665797,(706) 666-5797,Watkinsville,GA,US,5,0.5,5,4,5,5797
+19566668410,9566668410,(956) 666-8410,Pharr,TX,US,5,0.5,6,4,5,8410
+12174066555,2174066555,(217) 406-6555,Perry,IL,US,5,0.5,5,3,5,6555
+12407166655,2407166655,(240) 716-6655,Washington Zone,MD,US,5,0.5,6,3,5,6655
+12702366555,2702366555,(270) 236-6555,Hickman,KY,US,5,0.5,5,3,5,6555
+13418956555,3418956555,(341) 895-6555,Fremontnewark,CA,US,5,0.5,6,3,5,6555
+14176655593,4176655593,(417) 665-5593,Cassville,MO,US,5,0.5,6,3,5,5593
+17123555662,7123555662,(712) 355-5662,Council Bluffs,IA,US,5,0.5,6,3,5,5662
+17273466555,7273466555,(727) 346-6555,Saint Petersburg,FL,US,5,0.5,5,3,5,6555
+17656663282,7656663282,(765) 666-3282,Kirklin,IN,US,5,0.5,6,3,5,3282
+17656663732,7656663732,(765) 666-3732,Kirklin,IN,US,5,0.5,6,3,5,3732
+17656663930,7656663930,(765) 666-3930,Kirklin,IN,US,5,0.5,6,3,5,3930
+17656663992,7656663992,(765) 666-3992,Kirklin,IN,US,5,0.5,5,3,5,3992
+18312155566,8312155566,(831) 215-5566,,US,US,5,0.5,6,3,5,5566
+18703455666,8703455666,(870) 345-5666,Arkadelphia,AR,US,5,0.5,5,3,5,5666
+19049155566,9049155566,(904) 915-5566,,US,US,5,0.5,5,3,5,5566
+19123965556,9123965556,(912) 396-5556,Midway,GA,US,5,0.5,6,3,5,5556
+19283956665,9283956665,(928) 395-6665,Flagstaff,AZ,US,5,0.5,5,3,5,6665
+19383566650,9383566650,(938) 356-6650,Section,AL,US,5,0.5,6,3,5,6650
+19708766656,9708766656,(970) 876-6656,Silt,CO,US,5,0.5,6,3,5,6656
+19897155565,9897155565,(989) 715-5565,Merrill,MI,US,5,0.5,6,3,5,5565
+12176565541,2176565541,(217) 656-5541,Payson,IL,US,5,0.5,6,2,5,5541
+12183665650,2183665650,(218) 366-5650,Park Rapids,MN,US,5,0.5,6,2,5,5650
+12282155665,2282155665,(228) 215-5665,Ocean Springs,MS,US,5,0.5,6,2,5,5665
+12282156655,2282156655,(228) 215-6655,Ocean Springs,MS,US,5,0.5,6,2,5,6655
+12313665664,2313665664,(231) 366-5664,Fruitport,MI,US,5,0.5,6,2,5,5664
+12565569327,2565569327,(256) 556-9327,Decatur,AL,US,5,0.5,5,2,5,9327
+12565569489,2565569489,(256) 556-9489,Decatur,AL,US,5,0.5,5,2,5,9489
+12565569840,2565569840,(256) 556-9840,Decatur,AL,US,5,0.5,5,2,5,9840
+12765665148,2765665148,(276) 566-5148,Hurley,VA,US,5,0.5,5,2,5,5148
+12765665391,2765665391,(276) 566-5391,Hurley,VA,US,5,0.5,5,2,5,5391
+12765665428,2765665428,(276) 566-5428,Hurley,VA,US,5,0.5,6,2,5,5428
+13318665657,3318665657,(331) 866-5657,Chicago,US,US,5,0.5,5,2,5,5657
+13466565708,3466565708,(346) 656-5708,Houston,US,US,5,0.5,5,2,5,5708
+14244965566,4244965566,(424) 496-5566,,US,US,5,0.5,6,2,5,5566
+14245665523,4245665523,(424) 566-5523,,US,US,5,0.5,6,2,5,5523
+17066556709,7066556709,(706) 655-6709,Warm Springs,GA,US,5,0.5,6,2,5,6709
+17087655669,7087655669,(708) 765-5669,MAYWOOD,US,US,5,0.5,5,2,5,5669
+17156655303,7156655303,(715) 665-5303,Knapp,WI,US,5,0.5,5,2,5,5303
+17156655304,7156655304,(715) 665-5304,Knapp,WI,US,5,0.5,6,2,5,5304
+17405665530,7405665530,(740) 566-5530,Athens,OH,US,5,0.5,5,2,5,5530
+17438956656,7438956656,(743) 895-6656,,US,US,5,0.5,5,2,5,6656
+17479665663,7479665663,(747) 966-5663,LOS ANGELES,US,US,5,0.5,5,2,5,5663
+17855665009,7855665009,(785) 566-5009,Pomona,KS,US,5,0.5,6,2,5,5009
+17855665072,7855665072,(785) 566-5072,Pomona,KS,US,5,0.5,6,2,5,5072
+17855665224,7855665224,(785) 566-5224,Pomona,KS,US,5,0.5,5,2,5,5224
+17855665440,7855665440,(785) 566-5440,Pomona,KS,US,5,0.5,5,2,5,5440
+17855665837,7855665837,(785) 566-5837,Pomona,KS,US,5,0.5,6,2,5,5837
+18156655140,8156655140,(815) 665-5140,Ottawa,IL,US,5,0.5,5,2,5,5140
+18156655141,8156655141,(815) 665-5141,Ottawa,IL,US,5,0.5,6,2,5,5141
+18482665569,8482665569,(848) 266-5569,Seaside Park,NJ,US,5,0.5,5,2,5,5569
+18565563391,8565563391,(856) 556-3391,Pitman,NJ,US,5,0.5,6,2,5,3391
+18565563499,8565563499,(856) 556-3499,Pitman,NJ,US,5,0.5,6,2,5,3499
+19124556567,9124556567,(912) 455-6567,Glennville,GA,US,5,0.5,5,2,5,6567
+19206565530,9206565530,(920) 656-5530,Neosho,WI,US,5,0.5,5,2,5,5530
+19206565540,9206565540,(920) 656-5540,Neosho,WI,US,5,0.5,6,2,5,5540
+18286565614,8286565614,(828) 656-5614,Guntertown,NC,US,5,0.5,6,1,5,5614
+18565654137,8565654137,(856) 565-4137,,US,US,5,0.5,5,1,5,4137
